model_name,total_params,params_distribution,total_layers,total_treinable_layers,total_paths,total_kernel_regularizers,total_bias_regularizers,total_activity_regularizers,kernel_regularizers_distribution,bias_regularizers_distribution,activity_regularizers_distribution,kernel_regularizers_L1_distribution,bias_regularizers_L1_distribution,activity_regularizers_L1_distribution,kernel_regularizers_L2_distribution,bias_regularizers_L2_distribution,activity_regularizers_L2_distribution,initializer_count,dropout_count,dropout_distribution,batch_normalization_count,batch_normalization_distribution
Discriminator-AutoEncoder-1.0-64x64,785161.0,0.736472107593969,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 9}, 'bias': {'Zeros': 9}}",1.0,0.875,1.0,0.25
AutoEncoder-1.0-64x64,10151.0,0.5171805733425279,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 5}, 'bias': {'Zeros': 5}}",0.0,0.0,0.0,0.0
AutoEncoder-0.2-64x64,919.0,0.5678273485672832,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
Conv-3.2-64x64,919.0,0.5508705114254625,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
Conv-1.1-64x64,65.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 1}, 'bias': {'Zeros': 1}}",0.0,0.0,0.0,0.0
Conv-2.1-64x64,1217.0,0.4913722267871816,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 2}, 'bias': {'Zeros': 2}}",0.0,0.0,0.0,0.0
Conv-3.0-64x64,142.0,0.4964788732394366,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
Conv-2.0-64x64,153.0,0.4923747276688453,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 2}, 'bias': {'Zeros': 2}}",0.0,0.0,0.0,0.0
Conv-3.1-64x64,919.0,0.4423286180631121,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
AutoEncoder-0.3-64x64,6364.0,0.5702912214540121,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
AutoEncoder-0.0-64x64,142.0,0.4953051643192488,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
Conv-3.3-64x64,6364.0,0.5527184160905091,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 3}, 'bias': {'Zeros': 3}}",0.0,0.0,0.0,0.0
Conv-4.1-64x64,4175.0,0.4120239520958084,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'kernel': {'GlorotUniform': 4}, 'bias': {'Zeros': 4}}",0.0,0.0,0.0,0.0
